一级指标,二级指标,数据来源文件,核心字段,用途
产业规模发展,企业数量,01_产业规模年度数据集_低空经济_深圳市_2021_2025.csv,企业数量,衡量产业主体规模
产业规模发展,产业营收规模,01_产业规模年度数据集_低空经济_深圳市_2021_2025.csv,产业营收_亿元,衡量产业经济规模
产业规模发展,产业增加值,01_产业规模年度数据集_低空经济_深圳市_2021_2025.csv,产业增加值_亿元,衡量产业贡献度
产业规模发展,从业人数,01_产业规模年度数据集_低空经济_深圳市_2021_2025.csv,从业人数,衡量产业吸纳能力
产业规模发展,重点项目数量,01_产业规模年度数据集_低空经济_深圳市_2021_2025.csv,重点项目数量,衡量项目落地情况
产业创新能力,发明专利数量,02_产业创新年度数据集_低空经济_深圳市_2021_2025.csv,发明专利数量,衡量技术创新产出
产业创新能力,高价值专利数量,02_产业创新年度数据集_低空经济_深圳市_2021_2025.csv,高价值专利数量,衡量核心创新质量
产业创新能力,论文数量,02_产业创新年度数据集_低空经济_深圳市_2021_2025.csv,论文数量,衡量科研活跃度
产业创新能力,研发投入强度,02_产业创新年度数据集_低空经济_深圳市_2021_2025.csv,研发投入_亿元,衡量研发投入水平
产业创新能力,技术合同成交额,02_产业创新年度数据集_低空经济_深圳市_2021_2025.csv,技术合同成交额_亿元,衡量成果转化能力
市场活跃程度,融资事件数量,04_资本热度年度数据集_低空经济_深圳市_2021_2025.csv,融资事件数量,衡量资本活跃度
市场活跃程度,融资金额,04_资本热度年度数据集_低空经济_深圳市_2021_2025.csv,融资金额_亿元,衡量市场景气度
市场活跃程度,新设企业数量,01_产业规模年度数据集_低空经济_深圳市_2021_2025.csv,新设企业数量,衡量市场进入活跃度
市场活跃程度,重点园区数量,01_产业规模年度数据集_低空经济_深圳市_2021_2025.csv,重点园区数量,衡量产业承载能力
市场活跃程度,应用场景开放数量,05_产业生态年度数据集_低空经济_深圳市_2021_2025.csv,应用场景开放数量,衡量场景牵引能力
行业竞争状况,企业竞争力评分,03_企业竞争分析数据集_低空经济_深圳市_2025样例.csv,竞争力评分,衡量重点企业综合实力
行业竞争状况,高新技术企业占比,03_企业竞争分析数据集_低空经济_深圳市_2025样例.csv,高新技术企业,衡量创新主体结构
行业竞争状况,专精特新企业占比,03_企业竞争分析数据集_低空经济_深圳市_2025样例.csv,专精特新企业,衡量专精化水平
行业竞争状况,市场占有率估计,03_企业竞争分析数据集_低空经济_深圳市_2025样例.csv,市场占有率估计_pct,衡量竞争集中度
行业竞争状况,环节竞争分布,03_企业竞争分析数据集_低空经济_深圳市_2025样例.csv,所属环节,识别竞争热点环节
产业发展环境,政策支持强度,06_政策环境年度数据集_低空经济_深圳市_2021_2025.csv,政策支持资金_亿元,衡量政策支撑力度
产业发展环境,科研机构支撑度,05_产业生态年度数据集_低空经济_深圳市_2021_2025.csv,科研机构数量,衡量科研资源供给
产业发展环境,人才集聚度,05_产业生态年度数据集_低空经济_深圳市_2021_2025.csv,重点人才数量,衡量人才支撑能力
产业发展环境,服务机构完备度,05_产业生态年度数据集_低空经济_深圳市_2021_2025.csv,产业服务机构数量,衡量服务保障能力
产业发展环境,标准规范完善度,06_政策环境年度数据集_低空经济_深圳市_2021_2025.csv,标准规范数量,衡量制度成熟度
